Description,Adult,Medical,Spoofed,Violence,Racy
yellow,0,0,0,0,22.58064516
white,0,0,0,0,1.754385965
water,0,0,1.754385965,0,1.754385965
transport,0,0,1.818181818,0,0
text,0,0.13601741,1.387377584,0,4.597388466
technology,0,0,0,0,1.282051282
t shirt,0,0,30,0,0
sky,0,0,0,0,0.224719101
red,0,0.155279503,0,0,13.66459627
purple,0,0,3.333333333,0,23.33333333
property,0,0,0,0,0
product,0,0.121212121,3.151515152,0,1.818181818
pink,0,0,0,0,11.53846154
perfume,0,0,6.25,0,0
muscle,40,0,0,0,100
motor vehicle,0,0,1.405152225,0,0
learning,0,0,0,0,0
land vehicle,0,0,0,0,0
joint,0,0,85.18518519,0,3.703703704
home,0,0,7.692307692,0,0
green,0,0,0,0,5
furniture,0,0,4.597701149,0,0
footwear,0,0,7.56302521,0,0
food,0,0,4.347826087,0,0
font,0,0,7.936507937,0,9.523809524
community,0,0,0,0,0
clothing,1.724137931,0,6.896551724,0,20.68965517
cat,0,0,6.818181818,0,0
car,0,0,2.298850575,0,0
blue,0.218340611,0.327510917,0.218340611,0,8.951965066
black and white,0,0,0,0,3.703703704
black,0,0,0,0,11.62790698
automotive tire,0,0,0,0,0
advertising,0,0,8.755760369,0,5.99078341
